id,name,genre,followers
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,pop,11350495
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,pop,870134
7gHscNMDI8FF8pcgrV8eIn,Matt Maeson,rock,381139
0xRXCcSX89eobfrshSVdyu,MEDUZA,pop,571225
28uJnu5EsrGml2tBd7y8ts,Vintage Culture,edm,1687204
14MtanGZe4G1fzC8raLFUK,Danny Howard,house,21678
39B7ChWwrWDs7zXlsu3MoP,Sonny Fodera,edm,134217
0mMqD2uqwvCjFvlzo6ayGi,DJ Maphorisa,pop,1579728
1VJ0briNOlXRtJUAzoUJdt,FISHER,house,696450
19HFRWmRCl27kTk6LeqAO8,MORTEN,pop,78960
0QaSiI5TLA4N7mcsdxShDO,Sub Focus,uk dance,347015
1QMgre3BHX161ZHtWMUu6S,Dimension,drum and bass,76367
0GG2cWaonE4JPrjcCCQ1EG,SG Lewis,edm,300415
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,pop,3179737
12Zk1DFhCbHY6v3xep2ZjI,070 Shake,rap,402564
5KKpBU5eC2tJDzf0wmlRp2,RAYE,pop,558584
1294QqYm1VuxxjRiL9M0h9,UPSAHL,pop,281499
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,electro house,36120268
1IueXOQyABrMOprrzwQJWN,Sigala,pop,1486645
5ENS85nZShljwNgg4wFD7D,Gabry Ponte,edm,395085
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,pop,1248321
7kNqXtgeIwFtelmRjWv205,John Summit,edm,98397
67MNhiAICFY6Pwc2YxCO0K,Elley Duhé,pop,357883
144HzhpLjcR9k37w5Ico9B,Deborah de Luca,electra,353497
2YVF0Ou5zIc4mpgtLIlGN0,Robert Miles,trance,166211
0g5BdWwyb5SWkGnz9p4neX,Something Good,house,1486
5Dyfxq0ZrFjjeFBdSNxDbo,Yotto,edm,129410
540vIaP2JwjQb9dm3aArA4,DJ Snake,pop,8211577
6J2bFI9tQDWfPHjoKHKrOu,Yung Felix,dutch hip hop,112497
4ofCBoyEiGSePFAG500xev,Regard,pop,199212
2Wzb0u138rgoZQTK3ytknT,BEAUZ,pop,53447
2qxJFvFYMEDqd7ui6kSAcq,Zedd,pop,5844359
5SHxzwjek1Pipl1Yk11UHv,Tom Grennan,pop,375727
6DgP9otnZw5z6daOntINxp,Joel Corry,pop,310743
5344K3N7rx7kw1HjO8psuq,James Carter,edm,29047
6fcTRFpz0yH79qSKfof7lp,Seven Lions,edm,440512
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,pop,3625676
3oKnyRhYWzNsTiss5n4Z1J,LP Giobbi,edm,28426
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,escape room,2257066
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,escape room,1095062
59iOp415oyqGlBHyAhu4z3,Kah-Lo,pop,54867
0Dc2rdPzleezxhvQhQbXuS,Idris Elba,house,103525
76M2Ekj8bG8W7X2nbx2CpF,NGHTMRE,edm,436941
2NtQA3PY9chI8l65ejZLTP,SPINALL,pop,317450
14Tg9FvbNismPR1PJHxRau,Sultan + Shepard,edm,81829
1WHFu22zN1C6F11Z1rt12K,Jerro,tropical house,21566
20DZAfCuP1TKZl5KcY7z3Q,SLANDER,edm,383197
2ABBMkcUeM9hdpimo86mo6,Tourist,tropical house,155444
2vf4pRsEY6LpL5tKmqWb64,Elderbrook,edm,311449
1AHswQqsDNmu1xaE8KpBne,COBRAH,pop,77256
7tm9Tuc70geXOOyKhtZHIj,Chris Lorenzo,edm,85168
45eNHdiiabvmbp4erw26rg,ILLENIUM,pop,1314257
2l0xOjnrmYsxNoQ0QI3G5a,Black V Neck,bass house,13421
4D75GcNG95ebPtNvoNVXhz,Afrojack,edm,3923201
4epc3Bd0DOBA0kDywkRAsu,Westend,bass house,22752
5PlfkPxwCpRRWQJBxCa0By,HUGEL,edm,98998
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,pop,9308061
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,rock,2011070
0J7U24vlOOIeMpuaO6Q85A,LP,pop,2475520
0hAd6zwEgt9ILuMDY1prcI,Palaye Royale,rock,553254
7FngGIEGgN3Iwauw1MvO4P,"nothing,nowhere.",pop,385085
2cAXhrWAztXGwk6r15ibW2,Charlotte Sands,alt z,69600
3N8Hy6xQnQv1F1XCiyGQqA,Sleeping With Sirens,rock,2094645
2cFrymmkijnjDg9SS92EPM,blackbear,pop,4805205
3QaxveoTiMetZCMp1sftiu,Waterparks,rock,444378
5aYyPjAsLj7UzANzdupwnS,Good Charlotte,pop,2304475
6LuN9FCkKOj5PcnpouEgny,Khalid,pop,15631794
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,pop,10264697
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,pop,1992795
4sTQVOfp9vEMCemLw50sbu,Galantis,pop,3289472
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,pop,26613162
1YnW3KicGQq3zD9LcdGJSh,Myriam Fares,pop,832016
23fqKkggKUBHNkbKtXEls4,Kygo,pop,8202259
2nJYGgfTf2846LtVB3AES8,Plested,pop,104108
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,pop,7032490
3wcj11K77LjEY1PkEazffa,Burna Boy,pop,3919766
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop,105408325
2gduEC76ry33RVurAvT05p,Nathan Dawe,pop,73959
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,pop,1465509
6nXco5Q3cJJ0ZutnBOsSpq,MacKenzie Porter,country,42951
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,pop,2115305
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,pop,11613000
2TcGJdSOiOvITBzhvfX8XB,Shouse,edm,100367
7AOCUMe3rKW4o3uADBNwVy,Sophie Simmons,pop,11802
3klZnJvYGIbWritVwQD434,Duncan Laurence,pop,443367
46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,alt z,148635
0Upxnyh9nIUNSOmNE8WF4R,BYOR,edm,15691
5rGrDvrLOV2VV8SCFVGWlj,Imanbek,edm,166506
4IWBUUAFIplrNtaOHcJPRM,James Arthur,pop,10613993
6MDME20pz9RveH9rEXvrOM,Clean Bandit,pop,4981043
4AKwRarlmsUlLjIwt38NLw,Ofenbach,pop,507504
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,pop,2414071
7zoc6JsY8GWVcl2qFwiKay,Talia Mar,pop,109965
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,pop,10356021
4AVFqumd2ogHFlRbKIjp1t,Alesso,pop,3869412
25uiPmTg16RbhZWAqwLBy5,Charli XCX,pop,2713678
3QSQFmccmX81fWCUSPTS7y,Dean Lewis,pop,2299566
26VFTg2z8YR0cCuwLzESi2,Halsey,pop,18834796
4EPJlUEBy49EX1wuFOvtjK,Becky Hill,pop,563618
09agIJMxCD2k87ys9Al0f0,VIZE,edm,173988
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,pop,2517993
47BEc2RoW53owMyxacXWdV,Yves V,edm,277224
6mU8ucezzms5I2kNH6HNlu,Conor Maynard,pop,2052528
7z2avKuuiMAT4XZJFv8Rvh,Tom Walker,pop,999763
5CiGnKThu5ctn9pBxv7DGa,benny blanco,pop,1009450
1OFOShsIbhy1l5x73yuVyB,Shenseea,dancehall,479201
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,pop,18386191
0c173mlxpT3dSFRgMO8XPh,Big Sean,pop,10208479
1BEUkE2CSUgHTLSBMZdnFB,Mae Muller,pop,111817
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,pop,3668578
2JLl6rSFWx9YuSPLcLhkAG,Julian Perretta,pop,30740
1eMmoIprPDWeFdB1FxU6ZV,Au/Ra,pop,459510
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,pop,23889472
7fObcBw9VM3x7ntWKCYl0z,Colby O'Donis,pop,138955
0z4gvV4rjIZ9wHck67ucSV,Akon,pop,3463633
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,pop,5647057
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,rap,282751
23zg3TcAtWQy7J6upgbUnj,Usher,pop,10122652
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,pop,2478801
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,pop,10141140
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,rap,7767700
0NbfKEOTQCcwd6o7wSDOHI,The Game,rap,4284035
3q7HBObVc0L8jNeTe5Gofh,50 Cent,rap,9713570
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,pop,51120446
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,pop,3260684
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,pop,2358896
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,rap,1332511
7dGJo4pcD2V6oG8kP0tJRR,Eminem,rap,62047877
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,rap,8373241
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,rap,8940773
2mpeljBig2IXLXRAFO9AAs,Dido,pop,1469595
0jnsk9HBra6NMjO2oANoPY,Flo Rida,pop,8703142
3aQeKQSyrW4qWr35idm0cy,T-Pain,pop,4073320
5YBSzuCs7WaFKNr7Bky0Uf,Olivia,pop,23031
5EvFsr3kj42KNv97ZEnqij,Shaggy,pop,1824061
67wCYxOq4A1ohAs7jWYaOJ,Rik Rok,reggae fusion,7067
4pADjHPWyrlAF0FA7joK2H,Jay Sean,pop,1625387
55Aa2cqylxrFIXC767Z865,Lil Wayne,rap,12835411
2gBjLmx6zQnFGQJCAQpRgw,Nelly,pop,2281318
3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland,pop,3264827
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,rap,18732585
5T0MSzX9RC5NA6gAI6irSn,Estelle,r&b,246782
6vWDO969PvNqNYHIOW5v0m,Beyoncé,pop,32748982
4p07QU02SrLsaORo25h2Lg,Sammie,pop,530939
6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,pop,1643723
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,pop,14569606
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,pop,1308607
4OBJLual30L7gRl5UkeRcT,T.I.,pop,4399354
4d3yvTptO48nOYTPBcPFZC,Eve,pop,1153892
5sUrlPAHlS9NEirDB8SEbF,Alejandro Sanz,pop,6727709
1ZwdS5xdxEREPySFridCfh,2Pac,rap,13987466
3GMoVpWJy4smKuxFuFTwXC,Roger,funk,140021
0VbIlorLz3I5SEtIsc5vAr,Queen Pen,pop,35101
2P3cjUru4H3fhSXXNxE9kA,Blackstreet,pop,681549
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,r&b,2296378
2WKdxPFRD7IqZvlIAvhMgY,Fugees,hip hop,1170503
2B4ZHz4QDWJTXPFPgO5peE,Warren G,rap,2041289
1wiBLzTI7z9RUwEpNPdFT6,Mase,rap,694182
0kJMPTXq7h3ztpDukSx5iD,Pras,rap,20119
05oH07COxkXKIMt6mIPRee,Brandy,pop,3006633
6nzxy2wXs6tLgzEtqOkEi2,Monica,pop,2280893
4BoRxUdrcgbbq1rxJvvhg9,Olivia Newton-John,adult standards,1243919
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,rock,3506274
0NKDgy9j66h3DLnN8qu1bB,Eurythmics,rock,1612253
5MspMQqdVbdwP6ax3GXqum,Annie Lennox,singer-songwriter,1284040
4hKkEHkaqCsyxNxXEsszVH,John Travolta,hollywood,99273
