Id,Label,timeset,name,genre,followers,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,stat_inf_class
1ok6sI97SuTRNc7Hjj7Uj9,,,Caylee Hammack,contemporary country,24382,0,3,3,14,0.153376,0.166701,0.000222,0.011928,589,650
2XdtmipGVPmA62ptDgX8QC,,,Henry Jamison,indie folk,75304,104,3,3,1,1,1,0,0.003288,98,123
3DkhgIw7lIyxekurpXNTrm,,,Darlingside,indie folk,50755,104,1,1,2,0.6,0.666667,0,0.001547,98,123
66lH4jAE7pqPlOlzUKbwA0,,,Miranda Lambert,country,3389912,0,3,3,14,0.14827,0.164382,0.000718,0.013717,158,599
6y8XlgIV8BLlIg1tT1R10i,,,Old Dominion,country,1279210,0,1,1,15,0.128577,0.136958,0,0.002017,127,532
1dID9zgn0OV0Y8ud7Mh2tS,,,Dustin Lynch,country,1948608,0,1,1,15,0.126697,0.137065,0,0.002207,106,599
4NYMUsIcUUsBHbV9DICa5x,,,Nate Smith,country,149546,0,1,1,19,0.098797,0.102717,0,0.001606,347,472
25NQNriVT2YbSW80ILRWJa,,,Faith Hill,dance pop,1639291,0,1,4,15,0.125982,0.136493,0,0.003027,106,599
6roFdX1y5BYSbp60OTJWMd,,,Tim McGraw,country,4199041,0,4,7,14,0.144136,0.160803,0.000173,0.017696,106,599
0cEVpgfIpUSsUKUMsRrhtZ,,,Mitch Rossell,country,27373,0,1,1,16,0.117638,0.125242,0,0.002566,106,599
3XlIhgydjvC4EniPFZT20j,,,Trisha Yearwood,country,1078770,0,4,4,15,0.133316,0.145162,0.00121,0.011232,106,599
4xFUf1FHVy696Q1JQZMTRj,,,Carrie Underwood,pop,5484249,0,4,4,13,0.16169,0.180491,0.000571,0.025777,158,599
0XKOBt59crntr7HQXXO8Yz,,,Brooks & Dunn,country,2453290,0,4,5,14,0.143743,0.15749,0.001511,0.011307,106,599
3b8QkneNDz4JHKKKlLgYZg,,,Florida Georgia Line,country,4988606,0,8,17,13,0.162513,0.187754,0.002776,0.058121,162,599
2qgvmDsc4jrqbAbjq1HGM2,,,Rodney Atkins,country,1799893,105,1,3,1,1,1,0,0.00103,99,124
2DnqqkzzDKm3vAoyHtn8So,,,Uncle Kracker,country,638050,0,1,1,16,0.120837,0.127877,0,0.001563,589,580
2ySHS7UojGu20XfUPaBlyu,,,Devin Dawson,country,194115,0,1,3,15,0.130029,0.139411,0,0.003406,106,599
0u2FHSq3ln94y5Q57xazwf,,,Keith Urban,country,4930572,0,5,10,13,0.163213,0.183129,0.000833,0.033215,589,738
5q8HGNo0BjLWaTAhRtbwxa,,,Brantley Gilbert,country,2712307,0,4,4,13,0.161633,0.180508,0.002359,0.042483,158,599
6WY7D3jk8zTrHtmkqqo5GI,,,Maren Morris,pop,697336,0,7,9,13,0.159138,0.179241,0.002129,0.03411,106,599
7lDVEkjIURPMyUYwoQRrpw,,,Ryan Hurd,country,210862,0,2,2,14,0.137658,0.150123,0.000145,0.006225,106,599
7FY5V3XMwlNBPitEjXowHQ,,,Darius Rucker,country,2324148,0,2,2,15,0.119077,0.129188,0.000016,0.004747,106,599
6pRi6EIPXz4QJEOEsBaA0m,,,Chris Tomlin,ccm,1671820,0,8,8,14,0.14333,0.161379,0.001528,0.02177,106,599
75JvBeqW4BJ4xgnbMAq6MN,,,Anne Wilson,ccm,73297,106,3,3,2,0.714286,0.8,0,0.003812,100,1150
5VX8hxrcfJWwaTLiqGUHG3,,,TobyMac,ccm,1146994,0,4,4,15,0.131472,0.14093,0.000324,0.006371,106,599
6APm8EjxOHSYM5B4i3vT3q,,,MercyMe,ccm,1539217,0,1,1,15,0.115071,0.122554,0,0.0016,106,599
6daR4Ec3o6K4VJnRcPM6w6,,,Gary LeVox,ccm,10155,0,2,2,14,0.130029,0.141268,0.000158,0.005249,106,599
5D3h9ZoobhetjXw3dKhcaq,,,Jon Foreman,ccm,126487,107,1,3,7,0.238806,0.296429,0,0.00137,541,642
610EjgFatGvVPtib97jQ8G,,,NEEDTOBREATHE,ccm,764491,107,2,4,6,0.307692,0.394792,0.000001,0.002862,541,642
4weums6IzU9u5hNt7lR31b,,,Sonya Isaacs,country,951,106,1,1,4,0.384615,0.483333,0,0.001355,100,1150
7vCtweS8UVAXTyau2j0rDT,,,Josh Turner,country,2456302,106,2,2,3,0.555556,0.666667,0,0.002683,100,1150
32vWCbZh0xZ4o9gkz4PsEU,,,Dolly Parton,country,1954065,0,9,28,14,0.157498,0.174909,0.003132,0.028386,589,650
1qwYptsAoTdF79AffnMnpe,,,Shadowlands,worship,648,108,1,3,1,1,1,0,0.00103,101,125
435UmkDo0uchwmDeHdKWGN,,,Sandra McCracken,pop,38753,108,1,3,1,1,1,0,0.00103,101,125
3sDbKMebVH2VYcRSl7u1VC,,,for KING & COUNTRY,ccm,1024734,0,4,6,13,0.159675,0.176783,0.000746,0.022806,139,1322
3CygdxquGHurS7f9LjNLkv,,,Little Big Town,country,2574903,0,3,7,14,0.147388,0.165945,0.000758,0.01606,106,599
2LFbgsbEhfilNpQYW7mied,,,Shane & Shane,ccm,344224,0,1,1,15,0.121042,0.128037,0,0.001475,139,1322
6Iz3eq2aQGFf7TbGT2iahL,,,Gabby Barrett,country,249325,0,2,2,14,0.137705,0.148289,0.000158,0.004305,139,1322
6g10GEtmIVqIQBhPZh4ScQ,,,Zach Williams,ccm,276731,0,2,2,14,0.14015,0.151818,0.000139,0.006016,106,599
78YqeIji3mgAS2K1Maca6x,,,Dylan Scott,country,1280353,0,1,1,14,0.130234,0.141918,0,0.005709,106,599
4mxWe1mtYIYfP040G38yvS,,,Alan Jackson,country,2145432,0,1,1,15,0.132985,0.141295,0,0.002278,589,650
2QMsj4XJ7ne2hojxt6v5eb,,,Riley Green,country,487842,0,1,1,14,0.139892,0.15074,0,0.00412,106,599
7si9bAnJcqPoR30spNu9tm,,,The Grascals,progressive bluegrass,14858,0,1,1,16,0.109648,0.116217,0,0.001794,106,599
1nf0nRF0W4ybnJdda00pKY,,,The Swon Brothers,contemporary country,41632,109,1,1,1,1,1,0,0.00103,102,126
